"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"Every breath I take is for you","phrase","both","devotion/survival","medium","Suno; Udio; ChatGPT","Hyperbolic total-devotion line; the model escalates to 'every breath' as a maximal commitment token, a pattern that reads as airless and generated.","Every breath I take is for you, my love",,"lyric:phrases-love"
"grace/place/face","rhyme_pair","both","devotion/worship","medium","","-ace cluster common in generated worship/ballad lyrics ('amazing grace / a better place / see your face'); chaining the three signals AI is mining the rhyme dictionary rather than the subject.","By your grace / to a better place / I see your face",,"rhyme:more"
"unwavering","word","both","diction","medium","ChatGPT; Suno; arxiv 2406.07016; embryo.com","Focal-word list member. A motivational-register adjective ('unwavering commitment/dedication') that is out of place in neutral academic prose; its spike signals an LLM importing promotional tone into formal writing.","With unwavering faith I press on",,"lyric:phrases-struggle; prose:academic"
"Lost in time / Lost in a moment","phrase","both","dissolution cliché","medium","Suno; Udio; ChatGPT","Listed on AI-cliché lists as generic nostalgia/confusion filler; 'lost in ___' is one of the model's most-used frames and 'time' is its most probable object.","We were lost in time, just you and I",,"lyric:openers-closers"
"horizon","word","both","distance/scenery","medium","Suno; Udio","Aspirational-distance noun. AI gestures to 'the horizon' as a generic symbol of future/hope ('reaching for the horizon'). Default uplift imagery, not an observed sky.","Chasing the horizon line",,"lyric:atmosphere; lyric:abstract"
"distant","word","both","distance/scenery","low","Suno; Udio","Default longing modifier (distant lights/shores/memory/thunder). Signals yearning across space without naming the place — quintessential atmospheric vagueness.","Distant lights across the bay",,"lyric:atmosphere"
"power/hour","rhyme_pair","both","dominance","medium","Suno; Udio; ChatGPT","'Feel the power' + 'finest hour' (plus 'ivory tower', 'money shower') — the -ower family inflates ordinary brags with borrowed grandeur. 'Finest hour' is a cliché; the model uses 'power' as an abstract dominance-noun with no demonstrated source of it.","Feel my power / This my finest hour",,"rhyme:rap"
"Lost in your embrace","phrase","both","embrace","high","Suno; Udio","Combines two of the Suno Wiki's flagged AI words — 'lost/lost in' and 'embrace' — into one phrase; 'embrace' especially is a documented Suno over-word rarely used in natural speech.","I'm safe and lost in your embrace",,"lyric:phrases-love"
"Hold me close (and never let me go)","phrase","both","embrace/clinging","high","Suno; Udio; ChatGPT","Flagged by human songwriting guides as a top overused love line; AI doubles down on it because 'hold me close' + 'never let go' is a deeply grooved training pattern.","Hold me close and never let me go",,"lyric:phrases-love"
"Love me like you'll never let me go","phrase","both","embrace/clinging","medium","Suno; Udio; ChatGPT","Recombines the over-trained 'love me' + 'never let go' units; the model assembles intimacy lines from these grooved fragments, producing predictable output.","Hold me tight, love me like you'll never let me go",,"lyric:phrases-love"
"Wrapped in your love","phrase","both","embrace/comfort","medium","Suno; Udio; ChatGPT","A wrapping/cocoon comfort metaphor the model favors; 'wrapped in your love' is an over-trained intimacy image that substitutes a stock picture for specifics.","Tonight I'm wrapped in your love, warm and safe",,"lyric:phrases-love"
"broken/shattered + glass/chains imagery","trope","both","emotion","medium","Suno; Udio; ChatGPT","'Shattered Dreams' and 'Broken Chains' were explicitly named AI-lyric clichés; the model defaults to 'broken'/'shattered' plus glass, mirrors, or chains for any pain. The breakage cluster is a sentimental stock-image set that recurs identically across unrelated generated songs.","Shattered dreams and broken chains, picking up the pieces",,"rhyme:rap"
"embrace the pain","phrase","both","emotion","medium","Suno; Udio; ChatGPT","'Embrace' was named among Suno's most overused words; it's the model's abstract emotional-acceptance verb ('embrace the pain/journey/night'). Real speech rarely uses 'embrace' literally, so its frequency in lyrics is a direct lexical fingerprint of LLM phrasing.","Learn to embrace the pain inside",,"rhyme:rap"
"broken / broken pieces","word","both","emotional abstraction","medium","Suno; Udio","AI's universal damage word — broken hearts, chains, dreams, pieces; signals pain by default rather than depicting it.","Gluing back the broken pieces",,"genre:folk-indie"
"soul / my very soul","word","both","emotional abstraction","medium","Suno; Udio; r/SunoAI","AI reaches for 'soul' to deepen any feeling; flagged as one of the vague abstractions (heart/soul/fire/dreams) that replace specific imagery.","It cuts down to my very soul",,"genre:folk-indie"
"fire / flames / burning","word","both","emotional abstraction","low","Suno; Udio","Default passion/desire metaphor; cited among the vague AI staples, used so freely it stops meaning anything concrete.","You set my heart on fire",,"genre:folk-indie"
"heart / heartbeat","word","both","emotional abstraction","low","Suno; Udio; r/SunoAI","Flagged among heart/soul/fire/dreams as the abstractions AI substitutes for real images; the body-as-emotion shorthand is overwhelmingly frequent.","My heart beats only for you",,"genre:folk-indie"
"ache","word","both","emotional-physical","medium","Suno; Udio","Listed in Vollmer's field guide as emotional-saturation vocabulary ('ache, hollow, linger, fragile, ember'). The model's default bodily-emotion word, signaling pain without a cause.","An ache I can't explain",,"lyric:atmosphere"
"hollow","word","both","emotional-physical","medium","Suno; Udio","Named in Vollmer's emotional-saturation cluster. Default emptiness adjective ('hollow chest/halls/heart') used to imply numbness as generic mood texture.","A hollow feeling in my chest",,"lyric:atmosphere"
"fragile","word","both","emotional-physical","low","Suno; Udio","Named in Vollmer's saturation cluster. Default vulnerability adjective; pairs with heart/hope/light to signal delicacy as a generic emotional overlay.","This fragile heart of mine",,"lyric:atmosphere"
"linger","word","both","emotional-physical","low","Suno; Udio","In Vollmer's flagged cluster. The model's default 'persists faintly' verb for scent/memory/touch — tasteful lingering that fills a line without an event.","Your perfume lingers in the air",,"lyric:atmosphere"
"free/be","rhyme_pair","both","empowerment","high","","The laziest possible rhyme — two of the most common words in English — and AI's default empowerment-anthem closer ('I just want to be free / the person I'm meant to be'); zero imagery, maximum predictability.","I just want to be free / all that I can be",,"rhyme:more"
"rising above it all","phrase","both","empowerment","high","Suno; Udio","Named explicitly in Suno cliché guides; 'rise above' is a frictionless, content-free transcendence move the model defaults to when resolving conflict.","I'm gonna rise above it all",,"lyric:tropes"
"rising up / we will rise","trope","both","empowerment","high","Suno; Udio","Community-confirmed as a top Suno tell ('rise' / 'rise above'); the upward-motion verb is AI's reflexive empowerment closer, applied to any theme without grounding.","We will rise, we will rise above it all",,"lyric:tropes"
"fight for what you believe","phrase","both","empowerment","medium","Suno; Udio; ChatGPT","Civic-slogan abstraction with no named cause. AI offers it as a content-free rallying line because it's maximally agreeable and fits any anthem prompt.","Stand up and fight for what you believe",,"lyric:phrases-struggle"
"find the strength within / strength inside","phrase","both","empowerment","medium","Suno; Udio; ChatGPT","Therapeutic self-help language imported into lyric form. 'Strength within' is an abstraction with no sensory anchor; the model uses it as a one-size-fits-all empowerment payoff.","I dug deep and found the strength within",,"lyric:phrases-struggle"
"unstoppable / nothing can stop me now","trope","both","empowerment","medium","Suno; Udio; ChatGPT","A blunt declarative AI uses to cap empowerment songs; asserting 'unstoppable / nothing can stop me' tells dominance rather than dramatizing it.","I'm unstoppable now, nothing can stop me",,"lyric:tropes"
"warrior / fighter (self-as-)","trope","both","empowerment","medium","Suno; Udio; ChatGPT","Casting the narrator as a literal 'warrior/fighter' in a non-combat context is a default AI empowerment frame. It inflates ordinary struggle into battlefield imagery to borrow gravitas the lyric hasn't earned.","I'm a fighter, born a warrior, I won't fall",,"lyric:phrases-struggle"
"unbreakable / unstoppable","word","both","empowerment adjective","medium","Suno; ChatGPT; Udio","Absolute-adjective self-description. The model favors maximal, frictionless empowerment words because they're the safest completion; declaring yourself 'unbreakable' tells rather than shows and reeks of generated anthem.","Together we are unstoppable",,"lyric:verbs; lyric:phrases-struggle"
"we were born to / born to run/fly/be free","phrase","both","empowerment trope","medium","Suno; Udio; ChatGPT","Destiny-anthem template; 'born to ___' is a high-frequency empowerment frame AI fills with the most generic verb. The 'be free' completion is itself a cliché.","We were born to run, born to be free",,"genre:edm-pop"
"reclaiming my throne / taking back the crown","trope","both","empowerment/dominance","high","Suno; Udio; ChatGPT","Royalty/throne imagery is AI's default for self-empowerment because it's grandiose and emotionally generic; the listener is rarely an actual monarch, so the borrowed grandeur is a tell of statistical prestige-reaching.","I'm taking back my crown, reclaiming my throne",,"lyric:tropes"
"burning bridges","trope","both","endings/conflict","medium","Suno; Udio; ChatGPT","Explicitly named in AI lyric cliché lists; the idiom is reached for as the stock image for cutting ties, replacing a concrete depiction of the falling-out.","Burning bridges as I walk away",,"lyric:tropes"
